Date,Open,High,Low,Close,Adj Close,Volume
2016-03-18,0.445156,0.445156,0.417968,0.429687,0.267896,16083200
2016-03-21,0.426718,0.466562,0.426718,0.466562,0.290886,21433600
2016-03-22,0.468750,0.484062,0.467343,0.479687,0.299069,20806400
2016-03-23,0.484375,0.494062,0.470000,0.493750,0.307837,15692800
2016-03-24,0.487187,0.502343,0.481093,0.493750,0.307837,14502400
2016-03-28,0.499218,0.504687,0.457031,0.465937,0.290497,18630400
2016-03-29,0.467031,0.482500,0.443125,0.472187,0.294393,10713600
2016-03-30,0.468750,0.480000,0.464843,0.475000,0.296147,13657600
2016-03-31,0.472500,0.475937,0.457031,0.457031,0.284944,7360000
2016-04-01,0.463593,0.463593,0.463593,0.463593,0.289035,12800
2016-04-04,0.462343,0.472031,0.439218,0.451406,0.281437,8697600
2016-04-05,0.447812,0.448593,0.439531,0.442343,0.275786,10720000
2016-04-06,0.437656,0.441406,0.417968,0.429687,0.267896,17024000
2016-04-07,0.429687,0.440781,0.425781,0.425781,0.265461,6092800
2016-04-08,0.435781,0.450468,0.420000,0.443750,0.276664,12108800
2016-04-11,0.448281,0.448281,0.448281,0.448281,0.279489,96000
2016-04-12,0.454375,0.454375,0.454375,0.454375,0.283288,70400
2016-04-13,0.445937,0.445937,0.445937,0.445937,0.278027,38400
2016-04-14,0.450000,0.453125,0.442187,0.446875,0.278612,7366400
2016-04-15,0.452812,0.453906,0.445312,0.445312,0.277638,11161600
2016-04-18,0.447968,0.452812,0.444687,0.448437,0.279586,8851200
2016-04-19,0.448437,0.453125,0.446562,0.449375,0.280171,3648000
2016-04-20,0.452812,0.454687,0.437500,0.453906,0.282996,14598400
2016-04-22,0.448593,0.452343,0.446718,0.450625,0.280950,5753600
2016-04-25,0.445468,0.453125,0.444531,0.447343,0.278904,10912000
2016-04-26,0.451718,0.454687,0.440937,0.453125,0.282509,8384000
2016-04-27,0.451406,0.540000,0.451406,0.540000,0.336672,20294400
2016-04-28,0.545625,0.546875,0.506093,0.506093,0.315533,5568000
2016-04-29,0.505625,0.520937,0.500468,0.500468,0.312026,9568000
2016-05-02,0.506250,0.546875,0.500625,0.545312,0.339984,7065600
